genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
TNFSF10|TNFRSF10D|CASP10|TNFRSF10B|TNFRSF10A|SMPD1|TRADD|MAP2K4|TANK|CFLAR|PIK3CA|PIK3CB|MAP3K1|TNFRSF10C|MAPK3|MAPK1|IKBKB|FADD|MAPK8|PIK3R1|CHUK|DAP3|RIPK1|CASP8|IKBKG,TRAIL signaling pathway,PID,"(TRAIL AND cancer) AND (""systems biology"" OR computational)",(TRAIL AND cancer),63,6403,187,25
HDAC1|KDM1A|BTRC|YY1|ITCH|CDKN1A|NCSTN|ADAM10|ADAM12|CNTN1|DNM1|MYCBP|SKP2|PSENEN|CTBP1-AS2|NCOR2|NCOR1|FURIN|APH1B|APH1A|MAML2|SKP1|RBPJ|LNX1|MIB1|RAB11A|NEURL1|MARK2|JAG2|MYC|JAG1|CUL1|FBXW7|RBM15|EPS15|ENO1|DLL3|DLL4|PTCRA|EP300|GATA3|DNER|MFAP5|RBBP8|DLK1|DLL1|CCND1|MAML1|NOTCH1|NOTCH2|NOTCH3|NOTCH4|IL4|CNTN6|NUMBL|MFAP2|HES1|DTX1|JAG2|NOTCH1|KDM5A|RBPJ|NOTCH1|DLL4|ADAM17|DLK1|YY1|MIB1|JAG1|NFKB1|HIF1A|NRARP|HEY1|DLL3|DLL1|MYC|APH1A|HDAC1|HDAC2|YY1|MRX25|RCAN1|STK11|NEB|HPX|SMAD3|ADAM10|HES5|LIMS1|NOTCH2|MFNG|PSENEN|MAGEA1|NOTCH3|DTX1|ZNF17|MAML2|MAML3|MAML1|SCD|RBPJ|STAT3|WDR12|MAPK3|MAPK1|JAK2|PIK3R2|PIK3R1|VIM2P|JAG2|NR3C1P1|JAG1|GRM1|SIN3A|PRKCI|ACTN1|ASCL1|SNW1|RBM15|TCF3|CTSC|BMP5|CA11|DLL1|CNGA3|HTR2A|NFKB1|SKP2|EP300|HEY2|STAU1|SAP30|NPY4R|CCL16|CCL17|F8|APP|SKP1|RING1|GSK3B|MEF2C|NOTCH4|CNTN1|DLL3|RAD51|PSEN2|COL6A1|NUMBL|LCK|HES6,Notch signaling pathway,PID,"(notch AND cancer) AND (""systems biology"" OR computational)",(notch AND cancer),174,6381,1833,150
RFC1|BIRC2|RIPK1|AKT1|MAP2K7|MAP2K6|CLTC|MAPK10|MAPK14|NCOA3|PIK3CA|PIK3CB|MAP3K1|CFLAR|MAPK11|PIK3R1|FADD|MAPK8|MAPK9|BIRC3|CHUK|EZR|FASLG|CASP10|PDPK1|FAIM2|IKBKB|CASP3|SYK|CASP8|PTPN13|FAS|SMPD1|BID|BTK|IKBKG,FAS (CD95) signaling pathway,PID,"(CD95 AND cancer) AND (""systems biology"" OR computational)",(CD95 AND cancer),32,6276,354,36
PTK2|BPI|MAPK14|PLCG1|CENPCP1|CRK|CCKBR|NCOA3|JAK2|PIK3R1|CST2|TNFRSF8|ITGB1|SHC1|PRKCA|GYS2|KCNN1|LCP2|FADS3|BCAR1|CTNNB1|SOS1|GRB2|ATF2,Gastrin Signalling Pathway,NetPath,"(Gastrin AND cancer) AND (""systems biology"" OR computational)",(Gastrin AND cancer),9,5819,287,24
BID|BAK|BAX|CASP8|PARP1|CASP3|FASLG|FAS|TNF|TNFRSF1A|TRADD|DIABLO|XIAP|CYCS|APAF1|RIPK1|FADD|CASP9,Death Receptor Signaling,Signor,"((""death receptor"") OR (extrinsic AND apoptosis) AND cancer) AND (""systems biology"" OR computational)","((""death receptor"") OR (extrinsic AND apoptosis) AND cancer)",59,5126,98,18
TGFB2|LRPAP1|AKT1|ARRB2|BOC|STIL|SMOX|PIK3CA|GRK2|PTHLH|GLI2|GLI3|PIK3R1|DISP1|HHAT|DHH|GAS1|SHH|LRP2|IHH|CDON|PTCH2|PTCH1|HHIP|GLI1|SMO|GNAI2|SUFU|GLI3|BTRC|PRKACA|KIF7|GSK3B|GLI2|HHIP|IHH|SHH|PTCH1|DISP1|MED23|CTNNB1|ARRB2|BOC|SKI|CDK8|SMOX|GRK2|IHH|GLI2|GLI3|MED12|GLI1|HTR2A|SAP18|DYRK1A|ZNF277|SIN3A|HHAT|DHH|KIF7|GAS1|POU4F1|NR2E1|SUFU|SHH|SDC2|MBD4|CDON|PRKACA|STK36|PTCH2|MED6|PTCH1|CREBBP|HHIP,Signaling events mediated by the Hedgehog family,PID,"(hedgehog AND cancer) AND (""systems biology"" OR computational)",(hedgehog AND cancer),104,5036,1017,75
ATM|MAP2K3|MAPK11|GADD45G|TANK|CALM3|MAP3K3|GADD45B|MAP3K1|MAP3K6|MAP3K7|MAP3K4|MAP3K5|RNASE1|TRAF6|CAMK2B|CCM2|TXN2|CALM2|TAOK1|TAOK2|TAOK3|MAPK14|TAB2|TAB1|MAP3K10|GADD45A|MAP2K6|TP53|RPS6KA5|MAPK14|TAB1|MAP2K3|TRAF6|MAPKAPK2|CREB1|MAP2K6|TAOK2|LCK|ZAP70|MAP2K4|MAP3K4|TGFB1|TGFBR1|PPM1D|MAP3K7|MAP3K5|TAOK1|PTCRA|STAT1|MAPT|USF1|PPM1A|MEF2A|DDIT3|ATF1,p38 MAPK signaling pathway,PID,"((p38 AND MAPK) AND cancer) AND (""systems biology"" OR computational)",((p38 AND MAPK) AND cancer),44,4826,835,56
PTK2|HRAS|RET|GAB1|CRK|NCOA3|BCAR1|PIK3CA|JUN|MAPK3|MAPK1|DOK6|PXN|PIK3R1|DOK5|GFRA1|MAPK8|RNASE1|PDLIM7|SHC1|PRKCA|CREB1|RAP1A|DOK4|RHOA|FRS2|SHANK3|RASA1|NCK1|SOS1|GRB10|PTPN11|IRS1|IRS2|GRB2|PRKACA|GDNF|GRB7|DOK1,Signaling events regulated by Ret tyrosine kinase,PID,"(RET AND cancer) AND (""systems biology"" OR computational)",(RET AND cancer),40,4644,365,39
AKT1|PTK2B|GRK6|PIK3CA|PIK3CB|GRK2|FGR|PIK3CG|LYN|PXN|RNASE1|SSH1|CXCL12|INPP5D|PTPN11|GNG2|LOC105369230|CD3D|PAK1|CD3G|GNAO1|DNM1|CRK|RICTOR|GNAI3|PIK3R6|JAK2|PIK3R1|PLCB1|PLCB2|PLCB3|CSK|BLK|RHOC|HCK|RHOA|BCAR1|PTPN6|STAT2|VAV1|GNAZ|CD3E|RALB|PAG1|RAP1B|CD4|ARRB2|RHOB|GNAI2|NCOR2|GNAI1|NCOA3|STAT3|TRBC1|STAT1|RAP2A|GNB1|LAMP5|MTOR|VPS4A|VPS4B|MLST8|RACK1|STAT5B|STAT5A|CDC42|PTK2|ITCH|LIMK1|FOXO1|CD247|YES1|HLA-DRA|UBQLN1|FYN|MAPKAP1|RGS1|CXCR4|HGS|PRKCZ|ARR3|CFL1|LCK|PTPRC|GNA13|MMP9|PDPK1,CXCR4-mediated signaling events,PID,"(CXCR4 AND cancer) AND (""systems biology"" OR computational)",(CXCR4 AND cancer),75,4578,887,87
SFTPD|HDAC1|HDAC3|DNMT1|CKM|CDKN1B|CDKN1A|PPP2CA|TGFB2|MAPK14|ELF1|GSC|MAPK11|MYL1|MITF|CBX4|CTBP1-AS2|CREBBP|MEF2C|CEBPA|SPI1|SKP2|MYOD1|CEBPD|SMARCA4|CCNE1|JUN|RB1|CDK4|LINC00685|MAPK9|BRAF|SIRT1|CDKN2A|SMARCB1|CEBPB|SUV39H1|ABL1|PPARG|PAX3|CCNA2|EP300|TAF1|BRD2|E2F4|E2F3|E2F2|E2F1|BGLAP|CCND1|TBP|CCND3|CCND2|ID2|CSF2|RBBP4|RUNX2|MET|CDK2|AATF|KDM5B|CDK6|ATF7|TFDP1|ATF2,Regulation of retinoblastoma protein,PID,"(((retinoblastoma OR pRB) AND regulation) AND cancer) AND (""systems biology"" OR computational)",(((retinoblastoma OR pRB) AND regulation) AND cancer),61,4369,598,65
AKT1|IKBKB|NFKBIA|RELA|NFKB1|ARP2|ARP3|ACTB|PIK3CA|MAP2K1|MAP2K2|MAPK3|MAPK1|LAT|LCK|TCR|NFATC1|MAPK8|AP1|CALM1|PPP3CA|PTPRC|FYN|PLCG1|PDPK1|PAK1|BRAF|CTTN|CD28|GRB2|PRKCA|ZAP70|LCP2|SOS1|HRAS,T cell activation,Signor,"(""t cell activation"" AND cancer) AND (""systems biology"" OR computational)","(""t cell activation"" AND cancer)",58,4333,367,35
PLCG1|RNASE1|ACTA1|ROCK2|DOCK1|ITGA5|RAP1A|RRAS|MAP2K1|SOS1|WASL|MAP2K4|CRK|SH3GL1|YES1|NCOA3|PTPN21|PAK1|BMX|PIK3CA|FYN|TLN1|ETS1|CAPN2|PIK3R1|PXN|MAPK8|MAPK9|PTK2|BRAF|ITGB1|ARHGEF11|ARHGAP26|ITGB5|GIT2|VCL|RAP1B|JUN|ASAP1|RHOA|BCAR1|RASA1|MAPK8IP3|ACTN3|ACTN2|ACTN1|NCK1|NCK2|ACTN4|CCND1|MYLK|ITGAV|ELMO1|ARHGEF28|GRB2|ARHGAP35|GRB7|ARHGEF7|MAPK1|KLF8|LCK|RAPGEF1,Signaling events mediated by focal adhesion kinase,PID,"(focal adhesion kinase AND cancer) AND (""systems biology"" OR computational)",(focal adhesion kinase AND cancer),62,4276,703,62
HDAC1|SMARCC1|POU2F1|HDAC9|KAT2B|MAPK14|PDE9A|MAP2K6|REL|MAP2K4|SMARCA2|GSK3B|MDM2|NCOA2|NCOA3|CEBPA|EHMT2|NR0B1|EGR1|JUN|PKN1|KLK2|FOXO1|MAPK8|RACK1|NR3C1|APPBP2|TRIM24|TMPRSS2|RXRG|RXRA|SENP1|CARM1|NR2C2|KLK3|NCOA1|RXRB|ZMIZ2|SRY|EP300|HOXB13|NR2C1|DNAJA1|SPDEF|KAT5|KAT7|AR|SIRT1|HSP90AA1|FLNA|CREBBP|SMARCE1,Regulation of Androgen receptor activity,PID,"((androgen receptor AND regulation) AND cancer) AND (""systems biology"" OR computational)",((androgen receptor AND regulation) AND cancer),82,4152,575,52
SPHK2|NANOS2|CCL3|TBX21|IL12B|IL12A|MAP2K3|PUM3|B2M|RIPK2|CCR5|TYK2|GADD45G|NCOR2|IL1R1|STAT6|HLA-DRA|STAT4|STAT3|TRBC1|IL18RAP|IL12RB1|GADD45B|IL12RB2|IL4|IL2RA|DEFB119|EOMES|JAK2|NFKB1|NFKB2|RAB7A|FOS|IFNG|IL18R1|CD4|FASLG|LOC105369230|CD8A|CD8B|GZMA|IL18|MAPK14|IL2RB|SOCS1|STAT1|GZMB|IL2RG|MAP2K6|CCL4L1|HLX|LCK|STAT5A|CD247|IL2|MTOR|IL1B|CD3G|CD3D|CD3E|ATF2,IL12-mediated signaling events,PID,"(IL12 AND cancer) AND (""systems biology"" OR computational)",(IL12 AND cancer),12,3930,512,61
RNASE1|ELANE|MMP12|TGFB1|CTRC|PLAUR|ITGA3|EGFR|ITGA5|GPLD1|CRK|SERPINE1|NCOA3|MMP13|VLDLR-AS1|FGA|FGB|ITGB1|ITGB3|ITGB2|ITGB5|FPR1|FPR2|FPR3|PLAU|VTN|KLK4|HGF|CTSG|BCAR1|FGG|FN1|DNAJC5|PLGRKT|ITGAV|C1D|DOCK1|ITGAM|MMP9|MMP3,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,PID,"(""Urokinase-type plasminogen activator"" AND cancer) AND (""systems biology"" OR computational)","(""Urokinase-type plasminogen activator"" AND cancer)",18,3874,561,40
SMARCC2|HDAC1|NFATC2|SMARCC1|POU2F1|KMT5B|CHGA|CDKN1A|SUMO2|BAX|MAPK14|AKT1|HDAC2|MAPK10|MAPK11|KRT5|IL2|SMARCA4|IL5|SELE|NCOA2|NR1I3|SPI1|BGLAP|MAPK3|KRT14|EGR1|JUN|STAT5A|DEFB119|TBX21|MAPK1|CDK5R1|ICAM1|VIPR1|NFKB1|MAPK8|FGG|CDK5|NR3C1|PBX1|FOS|IFNG|NR4A1|IL4|CREB1|FCGR2A|PPP5C|HTATSF1P1|NCOA1|SMARCD1|POMC|MDM2|EP300|AFP|GATA3|PCK2|POU1F1|IRF1|MAPK9|TP53|STAT1|SGK1|FKBP5|FKBPL|CXCL8|TBP|KRT17|CSF2|GSK3B|PTP4A2P1|STAT5B|PRKACG|REXO2|PRKACA|CEBPD|CSN2|PRKACB|NFATC1|HSP90AA1|IL13|CREBBP|MMP1|MAPK14|NR3C1|MAPK3|LCK|MAPK8|JUN|NFKB1|NCOA1|CAV1|HNF4A|MAPK1|GLI1,Glucocorticoid receptor regulatory network,PID,"(glucocorticoid receptor AND cancer) AND (""systems biology"" OR computational)",(glucocorticoid receptor AND cancer),39,3775,1138,95
SPHK2|TRADD|MAP4K4|BAG4|NFKBIA|BIRC3|BAX|RIPK1|MAP2K2|MAP2K1|SMPD1|CASP8|SMPD3|MAP2K4|NSMAF|CRADD|LTBR|TANK|ASAH1|BID|MAP3K1|RB1|DEFB119|MAPK3|MAPK1|AKT1|FADD|KSR1|MAPK8|PRKRA|EGF|ETFA|PDGFA|IGF1|CTSD|PRKCD|CHUK|LAMP5|PRKCZ|CYCS|NFKB1|PAWR|TNFRSF1A|EIF2AK2|EIF2A|BRAF|AIFM1|BCL2,Ceramide signaling pathway,PID,"(ceramide AND cancer) AND (""systems biology"" OR computational)",(ceramide AND cancer),32,3675,393,48
RNASE1|EGR1|ITGA1|CDKN1A|NCOA3|CCNA2|TUBA1B|CCNE1|MAPK3|MAPK1|PTP4A1|PTP4A3|PTP4A2|ITGB1|RHOC|RHOA|BCAR1|AGXT|ROCK1|RABGGTB|CDK2|RABGGTA|ATF5,Signaling events mediated by PRL,PID,"(PRL AND cancer) AND (""systems biology"" OR computational)",(PRL AND cancer),7,3634,158,23
PDGFRB|PDGFRA|PDGFC|PDGFD|PDGFA|PDGFB,PDGF receptor signaling network,PID,"(PDGF AND cancer) AND (""systems biology"" OR computational)",(PDGF AND cancer),32,3566,97,6
AKT1|PRKAA1|CREB1|EIF4EBP1|MAPK3|MAPK1|FOXO3|INS|INSR|IRS1|PDPK1|PFKFB2|PIK3CA|PPARGC1A|RHEB|RPS6KA1|SIRT1|STK11|TSC1|TSC2|ULK1|ATG13|RB1CC1|MTOR,AMPK Signaling,Signor,"(AMPK AND cancer) AND (""systems biology"" OR computational)",(AMPK AND cancer),84,3556,343,24
CTTN|PLAUR|FRS2|AKT1|PTK2B|VTRNA2-1|CTNND1|NCAM1|NCOA3|STAT3|STAT1|STAT5B|PIK3CA|PSEN1|JUN|MAPK3|FGF19|MAPK1|PIK3R1|CDH1|DUSP6|SHC1|KLB|FOS|CAMK2A|PLAU|BGLAP|SSH1|HGF|FGFR4|GAB1|FGFR2|FGFR3|FGF1|FGFR1|RPS6KA1|CDH2|GZMB|SOS1|SPRY2|SDC2|PTPN11|SDC4|PLCG1|KL|RUNX2|MET|GRB2|SPP1|MMP9|PDPK1|FGF23|PPP2R1A|SPHK1|RAN|CDKN1A|GAB1|MAPK14|SPRY2|MAP2K1|PRKCSH|CTNND2|ASS1P10|YES1|XPO1|NCOA3|B2M|S1PR3|CEACAM1|MAPK3|MAPK1|CST2|ANXA13|HSPA9|CNR1|ITGB3|PRSS12|SHC1|MUC1|NR4A1|LAMP2|FGFR4|LRRC59|FGFR2|CTNNB1|BDKRB2|SOS1|CXCL6|PPP2CA|CNN2|PLCG1|CBL|CDK1|CDK2|GRB2|HSP90AA1|CSNK2B|AMY1B,FGF signaling pathway,PID,"(FGF AND cancer) AND (""systems biology"" OR computational)",(FGF AND cancer),51,3511,1050,98
HDAC1|HDAC3|KAT2B|MAPK14|AKT1|ARID4A|NCOR2|NCOA2|NCOA3|NCOA1|MAPK3|MAPK1|CYP27B1|MAPK8|RARA|PRKCA|RXRG|MNAT1|RXRA|RXRB|RARB|PRKCG|NOL7|EP300|NRIP1|CDK1|PRKACA|CDK7|CCNH|CREBBP,Retinoic acid receptors-mediated signaling,PID,"((""Retinoic Acid Receptor"" OR RAR) AND cancer) AND (""systems biology"" OR computational)","((""Retinoic Acid Receptor"" OR RAR) AND cancer)",28,3479,336,30
RNASE1|PTK2|PRKAR1A|DOCK1|ITGA4|PTK2B|CRK|TLN1|MYH2|NCOA3|THBS2|ARF6|THBS1|PXN|JAML|PRKACA|ITGB1|YWHAZ|MMDK|LINC01684|VCAM1|PRKAR1B|BCAR1|FN1|ABI1|SPP1|GIT1|PTPRA|PRKACB|CDC42,Alpha4 beta1 integrin signaling events,PID,"((alpha4 OR beta1) AND integrin AND cancer) AND (""systems biology"" OR computational)",((alpha4 OR beta1) AND integrin AND cancer),30,3466,403,30
BCL2L1|CD40LG|NFKBIA|BIRC3|BIRC2|MAPK14|AKT1|MAPK10|MAPK11|MAP2K4|PIK3CG|TANK|C4BPA|PIK3CB|MAP3K1|JUN|DEFB119|PIK3R6|JAK3|PIK3R1|NFKB1|MAPK8|MAPK9|TRAF1|TRAF3|TRAF6|CD40|MYC|TDP2|TNFAIP3|STAT5A|MAP3K14|PIK3CA|MMAB,CD40CD40L signaling,PID,"((CD40 OR CD40L) AND cancer) AND (""systems biology"" OR computational)",((CD40 OR CD40L) AND cancer),20,3444,303,34
ARNTL|WDR5|CLOCK|NONO|TIMELESS|NPAS2|CRY2|CRY1|PER2|PER1|CSNK1E|SERPINA2|NR1D1|DEC1|CHEK1,Circadian rhythm pathway,PID,"(circadian rhythm AND cancer) AND (""systems biology"" OR computational)",(circadian rhythm AND cancer),41,3433,98,15
RARA|GJA1|TGM2|PLCD1|GRK6|CHGA|FPR2|FSHR|GRK2|CCKAR|APPL1|AKT2|ARRB2|PRKAR1A|ARRB1|PRKACA|BLVRA|HIST3H3|GRK4,FSH Signalling Pathway,NetPath,"(FSH AND follicle AND cancer) AND (""systems biology"" OR computational)",(FSH AND follicle AND cancer),3,3392,166,19
HDAC1|POLA1|YY1|SMARCA2|DHFR|CDKN1B|CDKN1A|ATM|KAT2B|KAT2A|MAD2L1BP|MCL1|RRM1|E2F8|PTGDR|CBX5|MYBL2|SERPINE1|CDC6|ORC1|UXT|CCNA2|HIC1|CDK1|CCNE2|CCNE1|RB1|E2F4|PSG1|CES1P1|CES5A|TFE3|CES1|RYBP|MYC|HBP1|RANBP1|APAF1|SULT2A1|CDKN2C|SIRT1|CDKN2A|TRIM28|RBL1|RBL2|E2F6|CDC25A|CEBPA|PLAU|PRMT5|MCM7|CES3|CES2|TRRAP|TK1|EP300|E2F2|E2F7|CASP7|E2F5|RBBP8|E2F3|E2F1|TOPBP1|CCND3|BRCA1P1|TP73|RBBP4|TYMS|CDK2|CREBBP|CES4A|XRCC1|WASF1|TFDP2|TFDP1|RRM2,E2F transcription factor network,PID,"(E2F AND cancer) AND (""systems biology"" OR computational)",(E2F AND cancer),83,3034,739,77
MMP14|PDE3A|SH2B1|KHDRBS1|HLA-F|IKBKB|MAP2K1|CTNND2|L1CAM|PTENP1|MAPK14|NCOA3|NCOA1|STAT3|FYN|STAT5A|MAPK3|TNFRSF8|JAK3|PIK3R1|CST2|JAK2|RELA|PIK3R2|ERBB2|IGF1R|SHC1|CD44|PDIA3|CHUK|LEPR|CNGA3|PPIAP10|IKBKG|BLVRB|EP300|SOCS4|SOCS3|SOCS2|IRS4|SCARB1|ESR1|PLCG1|GNAQP1|GSK3B|RUNX2|STAT5B|GPX3|GRB2|ASS1P4|PSG1|ATF1|AMY1B,Leptin Signalling Pathway,NetPath,"(leptin AND cancer) AND (""systems biology"" OR computational)",(leptin AND cancer),10,3003,643,53
SCAI|ACTA1|LIMK2|CDKN1B|LIMK1|MAP2K3|MSN|MYL2|MAP2K6|MAPK12|MAP2K4|PTENP1|SH3GL2|SLC9A1|SLC9A3|EZR|JUN|MKL1|PARD6A|TLN1|PPP1R12A|MAPK8|ITGB1|OR7E25P|CYR61|DIAPH1|FOS|PKN1|PKN2|VCL|RDX|PRKCZ|CFL1|RHOA|ETV5|PLD1|PLD2|PIP5K1C|PIP5K1B|PIP5K1A|ROCK1|ROCK2|F2RL2|ATF2|SPATA6|CDC42,RhoA signaling pathway,PID,"(RHOA AND cancer) AND (""systems biology"" OR computational)",(RHOA AND cancer),61,2810,379,46
CDKN2A|CCND1|CDK4|CDC25A|GSK3B|E2F1|CCNE1|CDK2|CDKN1B|CDKN1A|RB1|CHEK2|TP53|MDM2|ATM|AKT1|ATR|MYC|CDKN2B|SMAD3|TGFB1|TGFBR1,Cell cycle_ G1_S phase transition,Signor,"(G1/S AND cancer) AND (""systems biology"" OR computational)",(G1/S AND cancer),44,2736,569,22
BCL2L1|TNFSF11|TIMP1|GAB2|HSP90B1|GAB1|MAPK14|AKT1|FOXO1|MAP2K6|MAP2K4|MITF|TYK2|A2M|CEBPB|STAT3|STAT1|CEBPD|PIK3CA|JUN|MAPK11|GRB2|JAK2|SOS1|PIK3R1|JAK1|MYC|FGG|A1BG|RNASE1|FOS|PRKCD|IL6R|PPIAP10|HCK|IL6ST|IRF1|RNASEH2A|RPSA|SOCS3|VAV1|PTPN11|PIAS3|PTPRE|PIAS1|CSRP3|MCL1|ELK1|STAT3|MAP2K1|MAP2K2|MAPK1|MAPK3|BRAF|SHC1|GRB2|IL6|IL6R|LIFR|IL6ST|CTF1|SOCS1|JAK1|SOCS3|SRC|SOS1|NRAS|PIAS3|HDAC1|COL11A2|ERBB3|HRAS|GPM6B|HNF1A|GAB1|RAB3IL1|PTK2B|CTNND2|MAP2K4|TYK2|GPI|DAXX|NCOA1|STAT3|CEBPD|CHRNB3|MAP3K7|MAPK3|MAPK1|JAK2|PIK3R2|CXCL10|JAK1|CST2|NFKB1|LYN|PIK3R1|ERBB2|CEBPB|SHC1|SIRPA|FOS|IL6R|GNAQP1|AR|CDK9|HCK|EP300|SOCS3|SOS1|VAV1|DRD3|CBL|PIAS3|GNG4|GRB2|CREBBP|HSP90AA1|ASS1P4|BTK|MAP2K6,IL6-mediated signaling events,PID,"(IL6 AND cancer) AND (""systems biology"" OR computational)",(IL6 AND cancer),43,2710,1165,121
HDAC1|TNKS|HDAC2|ACD|CDKN1B|RAD9A|ATM|EGFR|POT1|SMAD3|AKT1|ZFAS1|RAD1|ABL1|PSG1|DCLRE1B|EGF|MXD1|XRCC6|SMG5|SMG6|SAP30|MAPK3|HUS1|UBE3A|JUN|NR2F2|IFNG|MAPK1|NBN|SAP18|IL10RB-AS1|NFKB1|MYC|TERT|SIN3B|SIN3A|TGFB1|SP3|FOS|PRKCA|MRE11|PTGES3|PARP2|WRN|BLM|RAD50|MTOR|TERF2IP|MAX|IRF1|HNRNPC|E2F1|PINX1|CCND1|DNAJC5|ESR1|RBBP7|RBBP4|TERF2|TINF2|PIF1|TERF1|IL2|DKC1|HSP90AA1|YWHAE|RPS6KB1|XRCC5|WT1-AS,Regulation of Telomerase,PID,"((telomerase AND regulation) AND cancer) AND (""systems biology"" OR computational)",((telomerase AND regulation) AND cancer),37,2667,652,70
RPA1|RAD17|RAD1|FAAP100|RFC5|USP1|RAD9A|ATM|RFC3|RFC2|FANCB|FANCD2|XRCC3|RMI1|SERPINA2|FANCF|WDR48|HUS1|FANCG|ATRIP|FANCE|FANCC|NBN|FANCA|RFC4|FANCM|FANCL|FAAP24|FANCI|CHEK1|MRPL36|BRCA2|MRE11|BLM|CENPS|C21orf33|FSCN1|TOPBP1|PALB2|BRCA1P1|H2AFX|RPA2|BHLHE40|RAD50|TOP3A|UBE2T,Fanconi anemia pathway,PID,"(fanconi anemia AND cancer) AND (""systems biology"" OR computational)",(fanconi anemia AND cancer),42,2631,375,46
NFATC1|NFATC2|NFATC3|NRAS|HLA-A|IFNA21|MAP2K1|IFNA6|IFNAR2|CD8A|B2M|CD247|PRKCA|RAF1|TNFRSF18|FABP9|RAB3IL1|STAT4|CALM2|EGR1|JUN|EGR4|EOMES|MAPK3|MAPK1|FOSL1|TNFRSF9|TNFRSF4|MAPK8|IFNA10|IFNA17|IFNA16|IFNA14|FOS|IFNG|PRKCB|PRKCE|TNF|FASLG|HRAS|MAPK9|PRKCQ|CD8B|PTPN7|KRAS|IL2RA|IL2RB|IFNA8|RNASEH2A|IL2RG|IFNA2|IFNA1|GCH1|IFNA7|KCNH8|IFNA5|IFNA4|MAP2K2|IFNAR1|IL2|BRAF|CD3D|CD3E|CD3G,Downstream signaling in naive CD8 T cells,PID,"((naï¿½ï¿½ve CD8 AND signaling) AND cancer) AND (""systems biology"" OR computational)",((naï¿½ï¿½ve CD8 AND signaling) AND cancer),46,2619,751,64
SPATA13|ABI1|RALBP1|MCF2|KALRN|DOCK1|DOCK6|CHN2|CHN1|ARHGAP9|EPS8|DOCK2|ARHGAP1|BCR|PREX2|PREX1|RACGAP1|TIAM1|ARHGEF2|DEFA6|TIAM2|SOS1|ARHGDIA|RNASE1|TRIO|NGEF|ARHGEF6|ABR|RAP1GDS1|RASGRF1|RASGRF2|VAV1|VAV3|VAV2|ARHGAP17|ARHGAP32|ARHGEF7|ARHGEF25|ELMO1,Regulation of RAC1 activity,PID,"(RAC1 AND cancer) AND (""systems biology"" OR computational)",(RAC1 AND cancer),49,2530,793,39
NCF2|NCF1|CYFIP2|NOXO1|LIMK1|BRK1|NOXA1|MAP2K7|MAP2K6|MAP2K4|ARHGAP5|CRK|IQGAP1|NCKAP1|IQGAP3|STAT3|WASF1|WASF2|MAP3K11|RACGAP1|MAP3K1|JUN|MAPK14|CTNNB1|ARHGDIA|CDH1|MAPK8|MAPK9|RNASE1|PLCB2|ARPC3|ARPC2|ARPC5|ARPC4|CYBB|CYBA|CFL1|NOX1|BCAR1|CTNNA1|MAP2K3|PIP5K1C|ARPC1B|PIP5K1A|ABI1|PAK1|ABI2|STAT5A|PIP5K1B|BAIAP2|ACTR3|ACTR2|PAK2|ATF2,RAC1 signaling pathway,PID,"(RAC1 AND cancer) AND (""systems biology"" OR computational)",(RAC1 AND cancer),49,2530,398,54
HDAC1|ZCCHC12|AES|CCND2|MYF5|INCENP|CDX1|TLE2|TLE1|VCAN|CDX4|TLE4|CTNNB1|MITF|KRT1|HDAC2|PITX2|BCL9L|KLF4|MYOG|XPO1|SNAI2|CTBP1-AS2|FGF4|AXIN2|NEUROG1|RUVBL2|COX2|CHD8|YWHAQ|JUN|YWHAH|CACNA1G|CDKN2A|DVL3|MED12|YWHAB|HBP1|CDH1|MYC|TERT|YWHAG|YWHAE|NCOA2|TCF7|ADCY7|CYR61|MDFIC|MMP9|CUL1|TRRAP|SP5|SALL4|AR|T|IGF2BP1|LEF1|EP300|CBY1|CAMK4|YWHAZ|TBL1X|TBL1XR1|CCND1|CXCL8|DKK4|BTRC|ID2|TNIK|TCF7L2|DKK1|SKP1|REXO2|KCNIP4|CTNNBIP1|TCF7L1|APC|SMARCA4|MMP2,Regulation of nuclear beta catenin signaling and target gene transcription,PID,"((beta catenin regulation AND transcription) AND cancer) AND (""systems biology"" OR computational)",((beta catenin regulation AND transcription) AND cancer),63,2516,1061,79
ITGA8|ITGA9|ITGA1|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGA7|ITGA10|ITGA11|ITGA2B|ITGB1|ITGB3|ITGB2|ITGB5|ITGB4|ITGB7|ITGB6|ITGB8|ITGAX|ITGAV|ITGAL|ITGAM|ITGAD|ITGAE,Integrin family cell surface interactions,PID,"(integrin AND interactions AND cancer) AND (""systems biology"" OR computational)",(integrin AND interactions AND cancer),30,2408,560,26
